set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
1-8,Small house set,1970,Minitalia,,Vintage,Normal,67,,,,https://brickset.com/sets/1-8,https://images.brickset.com/sets/small/1-8.jpg,https://images.brickset.com/sets/images/1-8.jpg
2-8,Medium house set,1970,Minitalia,,Vintage,Normal,109,,,,https://brickset.com/sets/2-8,https://images.brickset.com/sets/small/2-8.jpg,https://images.brickset.com/sets/images/2-8.jpg
3-6,Medium house set,1970,Minitalia,,Vintage,Normal,158,,,,https://brickset.com/sets/3-6,https://images.brickset.com/sets/small/3-6.jpg,https://images.brickset.com/sets/images/3-6.jpg
4-4,Large house set,1970,Minitalia,,Vintage,Normal,233,,,,https://brickset.com/sets/4-4,https://images.brickset.com/sets/small/4-4.jpg,https://images.brickset.com/sets/images/4-4.jpg
4-6,Mini House and Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,,,,,https://brickset.com/sets/4-6,,
078-1,Roadway Base Plate 50X50,1970,Samsonite,Supplemental,Vintage,Normal,1,,,,https://brickset.com/sets/078-1,https://images.brickset.com/sets/small/078-1.jpg,https://images.brickset.com/sets/images/078-1.jpg
104-1,4.5V Replacement Motor,1970,Trains,Supplemental / 4.5V,Modern day,Normal,1,,,,https://brickset.com/sets/104-1,https://images.brickset.com/sets/small/104-1.jpg,https://images.brickset.com/sets/images/104-1.jpg
126-1,Steam Locomotive (Push),1970,Trains,4.5v,Modern day,Normal,60,,,,https://brickset.com/sets/126-1,https://images.brickset.com/sets/small/126-1.jpg,https://images.brickset.com/sets/images/126-1.jpg
157-3,4 Car Auto Transport,1970,Samsonite,Model Maker,Vintage,Normal,65,,,,https://brickset.com/sets/157-3,https://images.brickset.com/sets/small/157-3.jpg,https://images.brickset.com/sets/images/157-3.jpg
242-4,Big Model Book,1970,Books,LEGO,Miscellaneous,Book,,,,,https://brickset.com/sets/242-4,https://images.brickset.com/sets/small/242-4.jpg,https://images.brickset.com/sets/images/242-4.jpg
271-3,Mini-House with Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,89,,,,https://brickset.com/sets/271-3,https://images.brickset.com/sets/small/271-3.jpg,https://images.brickset.com/sets/images/271-3.jpg
311-5,Remote Control Car Set,1970,Samsonite,Model Maker,Vintage,Normal,271,,,,https://brickset.com/sets/311-5,https://images.brickset.com/sets/small/311-5.jpg,https://images.brickset.com/sets/images/311-5.jpg
312-1,Remote Control Supplement,1970,Samsonite,Model Maker,Vintage,Normal,1,,,,https://brickset.com/sets/312-1,https://images.brickset.com/sets/small/312-1.jpg,https://images.brickset.com/sets/images/312-1.jpg
338-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,74,,,,https://brickset.com/sets/338-1,https://images.brickset.com/sets/small/338-1.jpg,https://images.brickset.com/sets/images/338-1.jpg
345-3,House with Mini-Wheel Car,1970,Samsonite,Model Maker,Vintage,Normal,136,,,,https://brickset.com/sets/345-3,https://images.brickset.com/sets/small/345-3.jpg,https://images.brickset.com/sets/images/345-3.jpg
346-1,Jumbo Jet,1970,Samsonite,Model Maker,Vintage,Normal,121,,,,https://brickset.com/sets/346-1,https://images.brickset.com/sets/small/346-1.jpg,https://images.brickset.com/sets/images/346-1.jpg
347-1,Fire Station,1970,LEGOLAND,Building,Vintage,Normal,320,,,,https://brickset.com/sets/347-1,https://images.brickset.com/sets/small/347-1.jpg,https://images.brickset.com/sets/images/347-1.jpg
347-4,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,216,,,,https://brickset.com/sets/347-4,https://images.brickset.com/sets/small/347-4.jpg,https://images.brickset.com/sets/images/347-4.jpg
348-2,Mini-Wheel Car and Truck Set,1970,Samsonite,Model Maker,Vintage,Normal,211,,,,https://brickset.com/sets/348-2,https://images.brickset.com/sets/small/348-2.jpg,https://images.brickset.com/sets/images/348-2.jpg
367-2,Mini Airport and Vehicle,1970,Samsonite,Model Maker,Vintage,Normal,233,,,,https://brickset.com/sets/367-2,https://images.brickset.com/sets/small/367-2.jpg,https://images.brickset.com/sets/images/367-2.jpg
512-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,20,,,,https://brickset.com/sets/512-1,https://images.brickset.com/sets/small/512-1.jpg,https://images.brickset.com/sets/images/512-1.jpg
513-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,29,,,,https://brickset.com/sets/513-1,https://images.brickset.com/sets/small/513-1.jpg,https://images.brickset.com/sets/images/513-1.jpg
600-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,17,,,,https://brickset.com/sets/600-1,https://images.brickset.com/sets/small/600-1.jpg,https://images.brickset.com/sets/images/600-1.jpg
601-2,Tow Truck,1970,LEGOLAND,Vehicle,Vintage,Normal,15,,,,https://brickset.com/sets/601-2,https://images.brickset.com/sets/small/601-2.jpg,https://images.brickset.com/sets/images/601-2.jpg
602-2,Van with opening doors,1970,LEGOLAND,Vehicle,Vintage,Normal,24,,,,https://brickset.com/sets/602-2,https://images.brickset.com/sets/small/602-2.jpg,https://images.brickset.com/sets/images/602-2.jpg
603-3,Veteran Car,1970,LEGOLAND,Vehicle,Vintage,Normal,32,,,,https://brickset.com/sets/603-3,https://images.brickset.com/sets/small/603-3.jpg,https://images.brickset.com/sets/images/603-3.jpg
620-2,Fire engine with opening doors and ladder,1970,LEGOLAND,Vehicle,Vintage,Normal,40,,,,https://brickset.com/sets/620-2,https://images.brickset.com/sets/small/620-2.jpg,https://images.brickset.com/sets/images/620-2.jpg
621-2,Articulated petrol tanker,1970,LEGOLAND,Vehicle,Vintage,Normal,43,,,,https://brickset.com/sets/621-2,https://images.brickset.com/sets/small/621-2.jpg,https://images.brickset.com/sets/images/621-2.jpg
622-2,Parcels trolley,1970,LEGOLAND,Vehicle,Vintage,Normal,33,,,,https://brickset.com/sets/622-2,https://images.brickset.com/sets/small/622-2.jpg,https://images.brickset.com/sets/images/622-2.jpg
623-2,Car and caravan,1970,LEGOLAND,Vehicle,Vintage,Normal,38,,,,https://brickset.com/sets/623-2,https://images.brickset.com/sets/small/623-2.jpg,https://images.brickset.com/sets/images/623-2.jpg
708-1,2m Extension Cord for Points,1970,Trains,Supplemental / 12V,Modern day,Normal,1,,,,https://brickset.com/sets/708-1,https://images.brickset.com/sets/small/708-1.jpg,https://images.brickset.com/sets/images/708-1.jpg
722-2,12V Electric Train with 2 Wagons,1970,Trains,12V,Modern day,Normal,151,,,,https://brickset.com/sets/722-2,https://images.brickset.com/sets/small/722-2.jpg,https://images.brickset.com/sets/images/722-2.jpg
723-1,Diesel Locomotive,1970,Trains,12V,Modern day,Normal,95,,,,https://brickset.com/sets/723-1,https://images.brickset.com/sets/small/723-1.jpg,https://images.brickset.com/sets/images/723-1.jpg
742-1,12v Transformer,1970,Trains,Supplemental / 12V,Modern day,Normal,1,,,,https://brickset.com/sets/742-1,https://images.brickset.com/sets/small/742-1.jpg,https://images.brickset.com/sets/images/742-1.jpg
800-1,Gears. Motor and Bricks,1970,Universal Building Set,Gears,Basic,Normal,120,,,,https://brickset.com/sets/800-1,https://images.brickset.com/sets/small/800-1.jpg,https://images.brickset.com/sets/images/800-1.jpg
801-1,Gear Set,1970,Universal Building Set,Gears,Basic,Normal,115,,,,https://brickset.com/sets/801-1,https://images.brickset.com/sets/small/801-1.jpg,https://images.brickset.com/sets/images/801-1.jpg
802-1,Gear Supplement,1970,Universal Building Set,Gears,Basic,Normal,30,,,,https://brickset.com/sets/802-1,https://images.brickset.com/sets/small/802-1.jpg,https://images.brickset.com/sets/images/802-1.jpg
102A-1,Front-End Loader,1970,LEGOLAND,Vehicle,Vintage,Other,57,,,,https://brickset.com/sets/102A-1,https://images.brickset.com/sets/small/102A-1.jpg,https://images.brickset.com/sets/images/102A-1.jpg
445A-1,Lighting Device Pack with Improved Plugs (The Building Toy),1970,System,Supplemental,Basic,Other,8,,,,https://brickset.com/sets/445A-1,https://images.brickset.com/sets/small/445A-1.jpg,https://images.brickset.com/sets/images/445A-1.jpg
707A-1,12V Train Replacement Parts Retailer Pack,1970,Trains,Supplemental / 12V,Modern day,Other,,,,,https://brickset.com/sets/707A-1,https://images.brickset.com/sets/small/707A-1.jpg,https://images.brickset.com/sets/images/707A-1.jpg
WEETABIX1-1,Weetabix Castle,1970,LEGOLAND,Promotional,Vintage,Other,471,,,,https://brickset.com/sets/WEETABIX1-1,https://images.brickset.com/sets/small/WEETABIX1-1.jpg,https://images.brickset.com/sets/images/WEETABIX1-1.jpg
1-10,Mini-Wheel Model Maker No. 1 (Kraft Velveeta),1971,Samsonite,Model Maker,Vintage,Normal,86,,,,https://brickset.com/sets/1-10,https://images.brickset.com/sets/small/1-10.jpg,https://images.brickset.com/sets/images/1-10.jpg
2-10,Mini-Wheel Model Maker No. 2 (Kraft Velveeta),1971,Samsonite,Model Maker,Vintage,Normal,74,,,,https://brickset.com/sets/2-10,https://images.brickset.com/sets/small/2-10.jpg,https://images.brickset.com/sets/images/2-10.jpg
